1,505.0,212.0,20.0,50.0,1
2,530.0,226.0,20.0,50.0,1
3,565.0,234.0,25.0,60.0,1
12,433.0,217.0,20.0,35.0,1
13,460.0,218.0,20.0,36.0,1
13,72.0,202.0,33.0,51.0,1
14,492.0,215.0,20.0,51.0,1
17,459.0,207.0,20.0,41.0,1
17,444.0,209.0,19.0,34.0,1
18,465.0,217.0,22.0,48.0,1
18,451.0,214.0,20.0,51.0,1
19,467.0,224.0,20.0,40.0,1
19,482.0,221.0,21.0,42.0,1
19,380.0,216.0,16.0,33.0,1
20,518.0,217.0,21.0,59.0,1
20,492.0,220.0,21.0,50.0,1
20,387.0,215.0,27.0,42.0,1
21,574.0,216.0,27.0,63.0,1
21,544.0,217.0,23.0,59.0,1
22,458.0,217.0,20.0,51.0,1
22,440.0,217.0,21.0,41.0,1
23,500.0,215.0,20.0,46.0,1
23,481.0,217.0,22.0,45.0,1
23,524.0,210.0,27.0,75.0,1
24,568.0,212.0,26.0,61.0,1
24,547.0,215.0,22.0,59.0,1
25,327.0,219.0,19.0,29.0,1
26,316.0,216.0,20.0,39.0,1
27,292.0,217.0,22.0,46.0,1
28,250.0,213.0,27.0,54.0,1
29,189.0,214.0,32.0,71.0,1
30,91.0,215.0,40.0,87.0,1
33,461.0,212.0,20.0,41.0,1
33,441.0,213.0,18.0,41.0,1
33,365.0,210.0,16.0,27.0,1
34,367.0,212.0,17.0,32.0,1
34,470.0,215.0,21.0,48.0,1
34,492.0,216.0,20.0,45.0,1
35,374.0,210.0,19.0,37.0,1
35,555.0,220.0,26.0,55.0,1
35,525.0,218.0,31.0,58.0,1
36,397.0,210.0,21.0,47.0,1
37,438.0,217.0,20.0,55.0,1
38,508.0,225.0,30.0,82.0,1
38,493.0,224.0,20.0,46.0,1
39,573.0,223.0,24.0,59.0,1
40,158.0,216.0,20.0,41.0,1
41,119.0,214.0,22.0,46.0,1
42,57.000000000000014,214.0,32.0,57.0,1
43,2.9999999999999982,221.0,35.0,70.0,1
44,408.0,203.0,20.0,41.0,1
45,450.0,205.0,20.0,47.0,1
46,481.0,215.0,20.0,56.0,1
46,497.0,215.0,24.0,59.0,1
47,534.0,220.0,29.0,69.0,1
47,576.0,217.0,28.0,51.0,1
54,484.0,211.0,21.0,46.0,1
55,557.0,215.0,24.0,54.0,1
55,572.0,223.0,21.0,44.0,1
55,391.0,216.0,21.0,41.0,1
55,374.0,217.0,19.0,36.0,1
56,422.0,221.0,21.0,51.0,1
56,401.0,220.0,21.0,48.0,1
57,456.0,228.0,28.0,69.0,1
57,488.0,226.0,25.0,74.0,1
58,473.0,212.0,19.0,43.0,1
58,385.0,203.0,18.0,31.0,1
59,533.0,212.0,24.0,56.0,1
60,423.0,198.0,23.0,51.0,1
61,467.0,198.0,25.0,62.0,1
62,527.0,206.0,31.0,77.0,1
63,602.0,154.0,37.0,112.0,1
64,377.0,208.0,17.0,36.0,1
64,406.0,208.0,15.0,32.0,1
64,397.0,211.0,12.0,26.0,1
65,382.0,207.0,17.0,34.0,1
65,401.0,209.0,18.0,31.0,1
65,415.0,205.0,22.0,36.0,1
66,379.0,211.0,23.0,44.0,1
66,399.0,210.0,21.0,46.0,1
66,419.0,210.0,22.0,44.0,1
67,375.0,211.0,23.0,49.0,1
67,398.0,210.0,20.0,50.0,1
68,350.0,217.0,21.0,53.0,1
68,365.0,212.0,21.0,54.0,1
68,316.0,216.0,26.0,46.0,1
69,342.0,212.0,22.0,49.0,1
69,396.0,214.0,20.0,53.0,1
70,440.0,208.0,26.0,63.0,1
70,415.0,213.0,24.0,51.0,1
70,391.0,214.0,23.0,50.0,1
71,457.0,216.0,25.0,59.0,1
71,483.0,209.0,25.0,60.0,1
72,517.0,210.0,24.0,68.0,1
72,488.0,221.0,21.0,55.0,1
73,538.0,220.0,21.0,62.0,1
74,574.0,227.0,25.0,62.0,1
74,598.0,225.0,22.0,55.0,1
75,519.0,226.0,28.0,66.0,1
75,592.0,235.0,20.0,48.0,1
75,541.0,231.0,23.0,54.0,1
76,553.0,223.0,26.0,65.0,1
76,526.0,221.0,28.0,65.0,1
76,506.0,224.0,27.0,63.0,1
77,582.0,226.0,35.0,78.0,1
77,450.0,231.0,16.0,30.0,1
78,579.0,228.0,46.0,104.0,1
78,612.0,235.0,29.0,87.0,1
78,464.0,224.0,16.0,40.0,1
79,479.0,220.0,23.0,40.0,1
80,509.0,214.0,26.0,49.0,1
81,576.0,219.0,29.0,68.0,1
81,51.0,204.0,47.0,53.0,1
82,7.000000000000002,195.0,56.0,52.0,1
82,387.0,204.0,17.0,35.0,1
83,419.0,202.0,20.0,37.0,1
83,399.0,200.0,22.0,41.0,1
84,419.0,233.0,23.0,50.0,1
84,439.0,235.0,22.0,43.0,1
85,442.0,205.0,26.0,59.0,1
85,469.0,213.0,22.0,53.0,1
86,480.0,209.0,27.0,62.0,1
86,507.0,210.0,28.0,58.0,1
86,347.0,211.0,27.0,30.0,1
87,553.0,208.0,39.0,93.0,1
87,589.0,208.0,41.0,93.0,1
87,359.0,215.0,19.0,35.0,1
88,382.0,219.0,17.0,31.0,1
89,404.0,216.0,20.0,38.0,1
91,470.0,221.0,26.0,48.0,1
91,335.0,203.0,42.0,30.0,1
91,298.0,201.0,18.0,27.0,1
91,209.0,203.0,14.0,21.0,1
91,442.0,221.0,17.0,38.0,1
91,453.0,219.0,18.0,46.0,1
